site_id,northing,easting,dataset,quality
236,206449.18,453015.655,agi,0.4684634174645135
237,206530.485,454090.0491,agi,0.3145895798588723
238,206534.775,452698.6871,agi,0.6872833775443008
239,206550.85,454041.7519,agi,0.4062664076442294
240,205969.975,455341.1775,agi,0.8642751506117488
241,206060.795,454688.7877,agi,0.8723571462015525
242,206133.98,454922.2631,agi,0.8489186341322692
243,206163.06,455198.3541,agi,0.5220952201532667
244,206164.44,454730.5055,agi,0.3092739699173204
245,206168.985,455034.8104,agi,0.8569911375526353
246,206464.2245,455006.5178,agi,0.5569104889903886
247,206698.255,454427.344,agi,0.8799928914262019
248,206854.395,455455.3336,agi,0.8781719862535518
249,206865.575,456214.7114,agi,0.8118056732804162
250,206390.625,450028.2446,agi,0.4766693352417514
251,206473.99,451256.669,agi,0.5310586371611552
252,206914.17,450713.4691,agi,0.8106820029101143
253,206994.415,451133.8764,agi,0.49015320309376664
254,207145.2996,449977.3094,agi,0.40169564801165547
255,207176.3,450505.3837,agi,0.6340807574750101
256,207307.998,450336.1315,agi,0.8616928644964688
257,207422.1253,450331.1573,agi,0.7176178780049838
258,207553.95,450889.5039,agi,0.6420367020536191
259,207830.6,450423.2852,agi,0.3583058962624611
260,202377.385,455078.2379,agi,0.6690043360195019
261,202420.445,455800.0332,agi,0.89403231
262,202636.17,454700.0468,agi,0.3840504091419144
263,202649.2,455150.4129,agi,0.6109977914182421
264,202786.795,455292.2528,agi,0.8264238431567734
265,202823.115,456082.9513,agi,0.7444611706525227
266,202834.925,455316.2189,agi,0.7182094445971609
267,202829.65,455761.5771,agi,0.7214904503922657
268,202934.05,455545.0766,agi,0.5156946907318531
269,202939.38,455886.0121,agi,0.47615510655869603
270,204686.285,454956.8031,agi,0.7856166932871083
271,204735.76,454700.4736,agi,0.7860680368075086
272,204768.935,455226.9208,agi,0.8202433911480622
273,204901.65,455232.3446,agi,0.8479443315338828
274,205218.705,455182.7733,agi,0.6068054393165627
275,205247.135,455038.3756,agi,0.6009097768123197
276,205155.2038,455736.4691,agi,0.7789771073800651
277,205573.77,455586.0425,agi,0.6899783584666591
278,205871.3641,454762.65,agi,0.721180126
279,206875.235,455346.7642,agi,0.7774756016616606
280,206933.565,455176.5359,agi,0.8340032050905399
281,206960.86,455344.0708,agi,0.5027970941109214
282,207121.1265,455179.7588,agi,0.5253497715839665
283,207184.53,455713.3138,agi,0.3563891639045214
284,207228.275,456134.4377,agi,0.6469680845977044
285,207342.29,455908.4792,agi,0.3215653642780452
286,207372.09,454744.9275,agi,0.579358811
287,207476.41,455166.3378,agi,0.625586781
288,207541.04,456063.2654,agi,0.47192475127697064
289,207566.025,455634.1186,agi,0.6544999563414065
290,207621.21,456600.056,agi,0.31830014996342965
291,207632.54,454471.4197,agi,0.32240891324952864
292,207854.96,455228.6557,agi,0.793560336
293,208079.275,455366.8159,agi,0.5161143848467578
294,208206.595,454816.7705,agi,0.37623630759113086
295,208221.81,454865.0571,agi,0.6133459560328827
296,206622.1,452044.7415,agi,0.7619961318591666
297,207272.085,452933.5675,agi,0.4294926164981059
298,207343.65,451559.5676,agi,0.6737342854914001
299,207528.88,453714.2452,agi,0.3512084789962608
300,207715.725,452623.0557,agi,0.3310090327011646
301,207831.6,453964.1884,agi,0.6188127789408888
302,207987.6,454068.643,agi,0.6243810729660639
303,208138.67,453583.1689,agi,0.682457941
304,208222.325,454075.2367,agi,0.7356548
305,208387.225,452744.3924,agi,0.8855112476775209
306,208161.75,451204.6274,agi,0.6097802089807172
307,208407.965,450233.1375,agi,0.4937738837647476
308,208483.875,450382.4621,agi,0.7771117168612223
309,208505.1458,449382.0412,agi,0.4624993507572446
310,208962.58,451129.0192,agi,0.5633828524233817
311,209169.05,450510.4946,agi,0.3470738288053596
312,209258.78,450839.8747,agi,0.3152104460492745
313,209667.5026,448869.4817,agi,0.877589049
314,209711.8249,449074.6036,agi,0.8015880723073237
315,209737.1227,449491.7135,agi,0.7175845236562188
316,209834.0498,448503.7901,agi,0.545371767
317,209993.75,448764.8293,agi,0.40397659204250747
318,208439.195,453017.8973,agi,0.3938622256026516
319,208483.11,454134.0769,agi,0.4501457388987572
320,208710.505,452679.9745,agi,0.6295359988236724
321,208773.875,453000.88,agi,0.7287575536200375
322,208881.38,452712.293,agi,0.6961184260306388
323,208996.6,452446.7855,agi,0.4679603381675657
324,209855.475,449677.4507,agi,0.8729191683979165
325,209968.7994,449342.4935,agi,0.7427381500174612
326,209997.09,451326.5836,agi,0.6326124315068404
327,210356.56,451010.9766,agi,0.6670324477406113
328,210437.63,450943.0355,agi,0.551760037
329,210570.25,450128.7496,agi,0.4486385937006945
330,202053.275,455574.1659,agi,0.5135836071907569
331,202073.415,455316.0769,agi,0.7547076662786215
332,202233.58,455938.813,agi,0.3086360931778535
333,202291.43,453537.6434,agi,0.36964358430414973
334,202546.92,454047.6941,agi,0.32760158521305166
335,202754.2,453751.7393,agi,0.32443728139138206
336,202822.65,453903.9152,agi,0.8132763504066043
337,202926.075,453578.6026,agi,0.7221947156280142
338,203054.225,452915.686,agi,0.5845042974523951
339,203305.075,452589.5184,agi,0.35870049639060086
340,203448.225,452782.4633,agi,0.5949695250700995
341,203472.65,453196.6306,agi,0.5840830624683395
342,203659.715,454240.1906,agi,0.4039211219460091
343,203820.53,453957.9382,agi,0.5603109895427838
344,203890.515,453502.7585,agi,0.5391028406384241
345,203048.275,455091.8782,agi,0.6695100588313299
346,203106.315,454505.3465,agi,0.6810561905205863
347,203228.79,454870.2429,agi,0.3271824058632267
348,203319.11,454571.8708,agi,0.5247675687758828
349,203435.555,454743.9037,agi,0.6755159494285419
350,203554.755,454597.8999,agi,0.6018817551480526
351,203644.7,454483.1731,agi,0.8138939047129934
352,203680.83,454618.3497,agi,0.6952161789713671
353,204408.7,455891.5708,agi,0.3977606562488578
354,204476.375,455347.1775,agi,0.34234124844025793
355,203896.2,453735.7048,agi,0.6854515669237894
356,203933.4,454038.0496,agi,0.3159067863249731
357,204055.115,451857.9025,agi,0.651465349
358,204134.595,454232.229,agi,0.8641381448549745
359,204300.485,452087.3581,agi,0.6452845067255274
360,204455.67,452808.4479,agi,0.5329019557239132
361,204468.265,453563.5435,agi,0.6859729310654119
362,204535.51,452216.1579,agi,0.574951734
363,204562.425,453145.6513,agi,0.627370074
364,204872.605,454164.175,agi,0.8648788852659153
365,204870.375,451393.819,agi,0.5316615826804646
366,205145.465,451156.1173,agi,0.8767143382943485
367,205237.035,451069.1415,agi,0.8432103851736383
368,205622.85,451077.8711,agi,0.41747468087357786
369,205858.15,451449.0905,agi,0.34161678052509925
370,204910.1,453532.6809,agi,0.360466801
371,204920.075,453921.8366,agi,0.31093309539092984
372,205162.385,452424.3949,agi,0.356665776
373,205261.065,453650.6137,agi,0.7098040640498142
374,205281.79,452550.4423,agi,0.3427131890761374
375,205404.005,452411.1106,agi,0.4913853781762568
376,205426.4,453144.1662,agi,0.8069251865816729
377,205466.475,453469.2167,agi,0.3139631614414955
378,205581.365,453102.587,agi,0.7886810895533616
379,205600.81,452568.5779,agi,0.46911286486403997
380,205896.69,450507.715,agi,0.37089889657299374
381,205957.7,449836.7478,agi,0.7180422992184905
382,205981.29,451496.234,agi,0.6773657080679305
383,205970.045,449622.4824,agi,0.8264832081162319
384,206012.855,451204.4787,agi,0.7410426262823315
385,206032.345,451168.4749,agi,0.7820885582309092
386,206148.71,450604.0548,agi,0.46922074354278387
387,206194.3,450164.8225,agi,0.40646372626783367
388,205641.75,453038.5122,agi,0.750368851
389,205853.5,452037.3436,agi,0.7841008435603585
390,206084.945,452035.2853,agi,0.8943030852004041
391,206148.725,453226.2269,agi,0.5475706061468559
392,206211.725,452497.9426,agi,0.5232108514756699
393,206320.425,452734.4513,agi,0.7658477764451981
394,206449.18,453015.655,agi,0.5044821241518107
395,206530.485,454090.0491,agi,0.8584543953621389
396,206534.775,452698.6871,agi,0.8150476511058071
397,206550.85,454041.7519,agi,0.557396416
398,205969.975,455341.1775,agi,0.7505226406748985
399,206060.795,454688.7877,agi,0.7527257244508094
400,206133.98,454922.2631,agi,0.36187432130155955
401,206163.06,455198.3541,agi,0.8415317440077401
402,206164.44,454730.5055,agi,0.6031514234687143
403,206168.985,455034.8104,agi,0.7958744796646451
404,206464.2245,455006.5178,agi,0.49202976061836706
405,206698.255,454427.344,agi,0.8373139370977203
406,206854.395,455455.3336,agi,0.5335210072404979
407,206865.575,456214.7114,agi,0.306502591
408,206390.625,450028.2446,agi,0.8432291858515584
409,206473.99,451256.669,agi,0.35477200607168013
410,206914.17,450713.4691,agi,0.49158818255424896
411,206994.415,451133.8764,agi,0.8700371802304829
412,207145.2996,449977.3094,agi,0.8703642881625338
413,207176.3,450505.3837,agi,0.6440627328739716
414,207307.998,450336.1315,agi,0.6791023273018796
415,207422.1253,450331.1573,agi,0.5690673131869919
416,207553.95,450889.5039,agi,0.47592646301883873
417,207830.6,450423.2852,agi,0.4971987272219496
418,202377.385,455078.2379,agi,0.7035110736462231
419,202420.445,455800.0332,agi,0.7514247176626081
420,202636.17,454700.0468,agi,0.7749474262355092
421,202649.2,455150.4129,agi,0.7737708856767325
422,202786.795,455292.2528,agi,0.3547236618292142
423,202823.115,456082.9513,agi,0.596652183
424,202834.925,455316.2189,agi,0.33453525600998657
425,202829.65,455761.5771,agi,0.6297173293942413
426,202934.05,455545.0766,agi,0.5649183008240262
427,202939.38,455886.0121,agi,0.83262251
428,204686.285,454956.8031,agi,0.5105490075312472
429,204735.76,454700.4736,agi,0.37024020985656353
430,204768.935,455226.9208,agi,0.3857950092317015
431,204901.65,455232.3446,agi,0.7569063790304834
432,205218.705,455182.7733,agi,0.6709308379897567
433,205247.135,455038.3756,agi,0.3606736056736741
434,205155.2038,455736.4691,agi,0.35046408366899845
435,205573.77,455586.0425,agi,0.7205814788754721
436,205871.3641,454762.65,agi,0.3436578038185161
437,206875.235,455346.7642,agi,0.7931160355742137
438,206933.565,455176.5359,agi,0.7237453362938977
439,206960.86,455344.0708,agi,0.34880926838513987
440,207121.1265,455179.7588,agi,0.35090262845111514
441,207184.53,455713.3138,agi,0.8919837471007053
442,207228.275,456134.4377,agi,0.5245624774536722
443,207342.29,455908.4792,agi,0.5223852882401345
444,207372.09,454744.9275,agi,0.7876797403545016
445,207476.41,455166.3378,agi,0.8683491464303152
446,207541.04,456063.2654,agi,0.8916006382937227
447,207566.025,455634.1186,agi,0.752026911
448,207621.21,456600.056,agi,0.5257557513185495
449,207632.54,454471.4197,agi,0.35010043001920127
450,207854.96,455228.6557,agi,0.7662881495564622
451,208079.275,455366.8159,agi,0.6350425498414831
452,208206.595,454816.7705,agi,0.5545332055481857
453,208221.81,454865.0571,agi,0.8438126310568417
454,206622.1,452044.7415,agi,0.3667184893836908
455,207272.085,452933.5675,agi,0.5955750625745155
456,207343.65,451559.5676,agi,0.3068121868604514
457,207528.88,453714.2452,agi,0.5811963851964759
458,207715.725,452623.0557,agi,0.33378196540910243
459,207831.6,453964.1884,agi,0.37129074976084314
460,207987.6,454068.643,agi,0.3705157480662629
461,208138.67,453583.1689,agi,0.6895261812696382
462,208222.325,454075.2367,agi,0.747626928
463,208387.225,452744.3924,agi,0.6500212590582959
464,208161.75,451204.6274,agi,0.8773035290847253
465,208407.965,450233.1375,agi,0.5249223477142224
466,208483.875,450382.4621,agi,0.4714272517691165
467,208505.1458,449382.0412,agi,0.8211594769136763
468,208962.58,451129.0192,agi,0.43415750311167156
469,209169.05,450510.4946,agi,0.8779335236643668
470,209258.78,450839.8747,agi,0.30729268481388977
471,209667.5026,448869.4817,agi,0.8819272960245834
472,209711.8249,449074.6036,agi,0.32589594717034565
473,209737.1227,449491.7135,agi,0.8346858682188427
474,209834.0498,448503.7901,agi,0.616620665
475,209993.75,448764.8293,agi,0.8957788776715803
476,208439.195,453017.8973,agi,0.3442779388412393
477,208483.11,454134.0769,agi,0.6323125706407925
478,208710.505,452679.9745,agi,0.8815815213714595
479,208773.875,453000.88,agi,0.6138587065020893
480,208881.38,452712.293,agi,0.6776391828811575
481,208996.6,452446.7855,agi,0.7174492133907704
482,209855.475,449677.4507,agi,0.5727246388606639
483,209968.7994,449342.4935,agi,0.6765348480504381
484,209997.09,451326.5836,agi,0.6505885871538601
485,210356.56,451010.9766,agi,0.8406948062945934
486,210437.63,450943.0355,agi,0.3272678282048747
487,210570.25,450128.7496,agi,0.4685779137553382
488,202053.275,455574.1659,agi,0.8702468904459353
489,202073.415,455316.0769,agi,0.8341582703345498
490,202233.58,455938.813,agi,0.5733940516714278
491,202291.43,453537.6434,agi,0.6720795586809221
492,202546.92,454047.6941,agi,0.4664287097886796
493,202754.2,453751.7393,agi,0.4128726958342568
494,202822.65,453903.9152,agi,0.5782190429639893
495,202926.075,453578.6026,agi,0.5120113368156317
496,203054.225,452915.686,agi,0.6501936671105233
497,203305.075,452589.5184,agi,0.3466407821789909
498,203448.225,452782.4633,agi,0.8846368845996999
499,203472.65,453196.6306,agi,0.8917264466877619
500,203659.715,454240.1906,agi,0.7188970284118472
501,203820.53,453957.9382,agi,0.6216578198064723
502,203890.515,453502.7585,agi,0.48571656977179667
503,203048.275,455091.8782,agi,0.7882770118241693
504,203106.315,454505.3465,agi,0.7108387035323276
505,203228.79,454870.2429,agi,0.39757016360693476
506,203319.11,454571.8708,agi,0.8465563106963057
507,203435.555,454743.9037,agi,0.7935223457539015
508,203554.755,454597.8999,agi,0.8698799479751544
509,203644.7,454483.1731,agi,0.735431705
510,203680.83,454618.3497,agi,0.668049118
511,204408.7,455891.5708,agi,0.5509458217743713
512,204476.375,455347.1775,agi,0.85963709
513,203896.2,453735.7048,agi,0.8196383337002451
514,203933.4,454038.0496,agi,0.32713120206371366
515,204055.115,451857.9025,agi,0.3158201846983512
516,204134.595,454232.229,agi,0.5258780201268298
517,204300.485,452087.3581,agi,0.7863319984690997
518,204455.67,452808.4479,agi,0.8923656775889668
519,204468.265,453563.5435,agi,0.3902501346621169
520,204535.51,452216.1579,agi,0.6564784292112811
521,204562.425,453145.6513,agi,0.528534514
522,204872.605,454164.175,agi,0.881948639
523,204870.375,451393.819,agi,0.8052713538814253
524,205145.465,451156.1173,agi,0.8029972228266828
525,205237.035,451069.1415,agi,0.5812158958769822
526,205622.85,451077.8711,agi,0.5488917014025991
527,205858.15,451449.0905,agi,0.46404424315842374
528,204910.1,453532.6809,agi,0.33382529799055627
