site_id,northing,easting,dataset
336,202822.65,453903.9152,agi
337,202926.075,453578.6026,agi
338,203054.225,452915.686,agi
339,203305.075,452589.5184,agi
340,203448.225,452782.4633,agi
341,203472.65,453196.6306,agi
342,203659.715,454240.1906,agi
343,203820.53,453957.9382,agi
344,203890.515,453502.7585,agi
345,203048.275,455091.8782,agi
346,203106.315,454505.3465,agi
347,203228.79,454870.2429,agi
348,203319.11,454571.8708,agi
349,203435.555,454743.9037,agi
350,203554.755,454597.8999,agi
351,203644.7,454483.1731,agi
352,203680.83,454618.3497,agi
353,204408.7,455891.5708,agi
354,204476.375,455347.1775,agi
355,203896.2,453735.7048,agi
356,203933.4,454038.0496,agi
357,204055.115,451857.9025,agi
358,204134.595,454232.229,agi
359,204300.485,452087.3581,agi
360,204455.67,452808.4479,agi
361,204468.265,453563.5435,agi
362,204535.51,452216.1579,agi
363,204562.425,453145.6513,agi
364,204872.605,454164.175,agi
365,204870.375,451393.819,agi
366,205145.465,451156.1173,agi
367,205237.035,451069.1415,agi
368,205622.85,451077.8711,agi
369,205858.15,451449.0905,agi
370,204910.1,453532.6809,agi
371,204920.075,453921.8366,agi
372,205162.385,452424.3949,agi
373,205261.065,453650.6137,agi
374,205281.79,452550.4423,agi
375,205404.005,452411.1106,agi
376,205426.4,453144.1662,agi
377,205466.475,453469.2167,agi
378,205581.365,453102.587,agi
379,205600.81,452568.5779,agi
380,205896.69,450507.715,agi
381,205957.7,449836.7478,agi
382,205981.29,451496.234,agi
383,205970.045,449622.4824,agi
384,206012.855,451204.4787,agi
385,206032.345,451168.4749,agi
386,206148.71,450604.0548,agi
387,206194.3,450164.8225,agi
388,205641.75,453038.5122,agi
389,205853.5,452037.3436,agi
390,206084.945,452035.2853,agi
391,206148.725,453226.2269,agi
392,206211.725,452497.9426,agi
393,206320.425,452734.4513,agi
394,206449.18,453015.655,agi
395,206530.485,454090.0491,agi
396,206534.775,452698.6871,agi
397,206550.85,454041.7519,agi
398,205969.975,455341.1775,agi
399,206060.795,454688.7877,agi
400,206133.98,454922.2631,agi
401,206163.06,455198.3541,agi
402,206164.44,454730.5055,agi
403,206168.985,455034.8104,agi
404,206464.2245,455006.5178,agi
405,206698.255,454427.344,agi
406,206854.395,455455.3336,agi
407,206865.575,456214.7114,agi
408,206390.625,450028.2446,agi
409,206473.99,451256.669,agi
410,206914.17,450713.4691,agi
411,206994.415,451133.8764,agi
412,207145.2996,449977.3094,agi
413,207176.3,450505.3837,agi
414,207307.998,450336.1315,agi
415,207422.1253,450331.1573,agi
416,207553.95,450889.5039,agi
417,207830.6,450423.2852,agi
418,202377.385,455078.2379,agi
419,202420.445,455800.0332,agi
420,202636.17,454700.0468,agi
421,202649.2,455150.4129,agi
422,202786.795,455292.2528,agi
423,202823.115,456082.9513,agi
424,202834.925,455316.2189,agi
425,202829.65,455761.5771,agi
426,202934.05,455545.0766,agi
427,202939.38,455886.0121,agi
428,204686.285,454956.8031,agi
429,204735.76,454700.4736,agi
430,204768.935,455226.9208,agi
431,204901.65,455232.3446,agi
432,205218.705,455182.7733,agi
433,205247.135,455038.3756,agi
434,205155.2038,455736.4691,agi
435,205573.77,455586.0425,agi
436,205871.3641,454762.65,agi
437,206875.235,455346.7642,agi
438,206933.565,455176.5359,agi
439,206960.86,455344.0708,agi
440,207121.1265,455179.7588,agi
441,207184.53,455713.3138,agi
442,207228.275,456134.4377,agi
443,207342.29,455908.4792,agi
444,207372.09,454744.9275,agi
445,207476.41,455166.3378,agi
446,207541.04,456063.2654,agi
447,207566.025,455634.1186,agi
448,207621.21,456600.056,agi
449,207632.54,454471.4197,agi
450,207854.96,455228.6557,agi
451,208079.275,455366.8159,agi
452,208206.595,454816.7705,agi
453,208221.81,454865.0571,agi
454,206622.1,452044.7415,agi
455,207272.085,452933.5675,agi
456,207343.65,451559.5676,agi
457,207528.88,453714.2452,agi
458,207715.725,452623.0557,agi
459,207831.6,453964.1884,agi
460,207987.6,454068.643,agi
461,208138.67,453583.1689,agi
462,208222.325,454075.2367,agi
