,access_pt_id,site_id,has_agi,has_sac,has_sssi,is_protected,designation_count,snap_distance_m,easting,northing,geometry
172,ap_0046026,117,True,False,False,False,1,0.0,449981.5258999998,199079.1152999997,POINT (449981.5258999998 199079.1152999997)
173,ap_0046027,117,True,False,False,False,1,0.02754086445245736,450044.81900000013,198982.51290000044,POINT (450044.81900000013 198982.51290000044)
174,ap_0046028,117,True,False,False,False,1,0.26149999909102917,450297.75270000007,198933.2614999991,POINT (450297.75270000007 198933.2614999991)
175,ap_0046031,239,True,False,False,False,1,0.0,452150.64460000023,204712.1604999993,POINT (452150.64460000023 204712.1604999993)
176,ap_0046032,147,True,False,False,False,1,0.0,453387.9128999999,201764.3808999993,POINT (453387.9128999999 201764.3808999993)
177,ap_0046033,147,True,False,False,False,1,0.0,453395.26999999955,201722.0722000003,POINT (453395.26999999955 201722.0722000003)
178,ap_0046034,147,True,False,False,False,1,0.0,453476.62239999976,201780.58660000004,POINT (453476.62239999976 201780.58660000004)
179,ap_0046035,147,True,False,False,False,1,0.0,453395.8415999999,201722.0870999992,POINT (453395.8415999999 201722.0870999992)
180,ap_0046036,197,True,False,False,False,1,0.0,453688.5842000004,202909.37170000002,POINT (453688.5842000004 202909.37170000002)
181,ap_0046037,197,True,False,False,False,1,0.0,453540.2731999997,202853.48740000091,POINT (453540.2731999997 202853.48740000091)
182,ap_0046038,197,True,False,False,False,1,0.0,453539.85500000045,202853.14970000088,POINT (453539.85500000045 202853.14970000088)
183,ap_0046039,197,True,False,False,False,1,0.06985173471558692,453536.32919999957,202851.20900000073,POINT (453536.32919999957 202851.20900000073)
184,ap_0046040,197,True,False,False,False,1,0.07156738993635735,453535.4444000004,202850.42129999958,POINT (453535.4444000004 202850.42129999958)
185,ap_0046041,197,True,False,False,False,1,0.0,453530.18659999967,202845.34300000034,POINT (453530.18659999967 202845.34300000034)
186,ap_0046042,197,True,False,False,False,1,0.0012121488740177452,453526.7969000004,202842.6060000006,POINT (453526.7969000004 202842.6060000006)
187,ap_0046043,197,True,False,False,False,1,0.08883051989377376,453526.4539999999,202842.4173000008,POINT (453526.4539999999 202842.4173000008)
188,ap_0046044,262,True,False,False,False,1,0.0,454118.61950000003,204989.78299999982,POINT (454118.61950000003 204989.78299999982)
189,ap_0046045,262,True,False,False,False,1,0.0,454145.65610000025,204978.6860000007,POINT (454145.65610000025 204978.6860000007)
190,ap_0046046,262,True,False,False,False,1,0.0,454147.0340999998,204978.12040000036,POINT (454147.0340999998 204978.12040000036)
191,ap_0046047,262,True,False,False,False,1,0.0,454150.9380999999,204976.51799999923,POINT (454150.9380999999 204976.51799999923)
